id,genre,track_name,artist_name,valence,energy
4LRPiXqCikLlN15c3yImP7,['pop'],As It Was,Harry Styles,0.662,0.731
1rDQ4oMwGJI7B4tovsBOxc,"['deep underground hip hop', 'kentucky hip hop', 'rap']",First Class,Jack Harlow,0.324,0.563
02MWAaffLxlfxAUY7c5dvx,"['gauze pop', 'indietronica', 'shiver pop']",Heat Waves,Glass Animals,0.531,0.525
5PjdY0CKGZdEuoNab3yDmX,['australian hip hop'],STAY (with Justin Bieber),The Kid LAROI,0.478,0.764
2DB4DdfCFMw1iaR6JaR03a,"['dance pop', 'pop', 'post-teen pop']",Bam Bam (feat. Ed Sheeran),Camila Cabello,0.956,0.697
7dSZ6zGTQx66c2GF91xCrb,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",PROVENZA,KAROL G,0.53,0.516
6JIC3hbC28JZKZ8AlAqX8h,"['glam rock', 'mellow gold', 'piano rock']",Cold Heart - PNAU Remix,Elton John,0.934,0.8
1HhNoOuqm1a5MXYEgAFl8o,"['modern rock', 'rock']",Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,0.555,0.783
1O2pcBJGej0pmH2Y9XZMs6,"['mambo chileno', 'urbano chileno']",Una Noche en MedellÃ­n,Cris Mj,0.832,0.548
59nOXPmaKlBfGMDeOVGrIK,"['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",WAIT FOR U (feat. Drake & Tems),Future,0.339,0.642
58HvfVOeJY7lUuCqF0m3ly,"['alt z', 'pop']",MIDDLE OF THE NIGHT,Elley DuhÃ©,0.0899,0.611
1ri9ZUkBJVFUdgwzCnfcYs,"['dance pop', 'latin', 'latin viral pop', 'pop', 'rap latina', 'reggaeton']",MAMIII,Becky G,0.899,0.7
5Z9KJZvQzH6PFmb8SNkxuk,"['lgbtq+ hip hop', 'pop']",INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,0.892,0.691
2uky0VCI2EZni0nArOPznM,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino']","Paulo Londra: Bzrp Music Sessions, Vol. 23",Bizarrap,0.329,0.91
3FkeNbs9Zeiqkr3WkbOiGp,"['funk carioca', 'funk pop', 'pagode baiano', 'pop nacional']",Envolver,Anitta,0.396,0.736
6I3mqTwhRpn34SLVafSH7G,"['canadian pop', 'pop']",Ghost,Justin Bieber,0.441,0.741
50nfwKoDiSYg8zOCREWAm5,"['pop', 'uk pop']",Shivers,Ed Sheeran,0.822,0.859
6Uj1ctrBOjOas8xZXGqKk4,"['dance pop', 'pop']",Woman,Doja Cat,0.881,0.764
4fouWK6XVHhzl78KzQ1UjL,['modern alternative pop'],abcdefu,GAYLE,0.415,0.54
6mmPpaltUZK7xjNlBPQQ0p,"['puerto rican pop', 'trap latino']",Desesperados,Rauw Alejandro,0.511,0.694
5oH4DQAuu1J1800RzUsBWa,"['k-pop', 'k-rap', 'korean old school hip hop']",That That (prod. & feat. SUGA of BTS),PSY,0.906,0.962
48AJSd42lXpicsGqcgopof,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",X ÃšLTIMA VEZ,Daddy Yankee,0.573,0.855
3uUuGVFu1V7jTQL60S1r8z,"['belgian edm', 'edm', 'pop', 'pop dance', 'tropical house']",Where Are You Now,Lost Frequencies,0.262,0.636
4ZtFanR9U6ndgddUvNcjcG,['pop'],good 4 u,Olivia Rodrigo,0.688,0.664
1UdzJEpgJxtuXAlCOvD4S0,"['latin', 'pop venezolano', 'reggaeton', 'trap latino']",Fuera del mercado,Danny Ocean,0.266,0.673
46IZ0fSY2mpAiktS3KOqds,"['british soul', 'pop', 'pop soul', 'uk pop']",Easy On Me,Adele,0.13,0.366
0e8nrvls4Qqv5Rfa2UhqmO,"['lgbtq+ hip hop', 'pop']",THATS WHAT I WANT,Lil Nas X,0.546,0.846
0y60itmpH0aPKsFiGxmtnh,"['afrofuturism', 'dance pop', 'electropop', 'pop', 'post-teen pop']",Wait a Minute!,WILLOW,0.672,0.705
2KdKh9vHbKW0tZLqtpxxI0,"['canadian pop', 'pop']",Honest (feat. Don Toliver),Justin Bieber,0.809,0.655
18asYwWugKjjsihZ0YvRxO,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'house', 'pop', 'pop dance', 'slap house', 'trance', 'tropical house']",The Motto,TiÃ«sto,0.464,0.763
1PckUlxKqWQs3RlWXVBLw3,"['dance pop', 'escape room', 'minnesota hip hop', 'pop', 'trap queen']",About Damn Time,Lizzo,0.722,0.743
3rmo8F54jFF8OgYsqTxm5d,"['pop', 'uk pop']",Bad Habits,Ed Sheeran,0.537,0.893
2rDZhKnPaPG054ExZ6nXUS,"['reggaeton', 'trap colombiano', 'trap latino']",Jordan,Ryan Castro,0.71,0.68
1r8ZCjfrQxoy2wVaBUbpwg,['australian hip hop'],Thousand Miles,The Kid LAROI,0.203,0.657
2B4GHvToeLTOBB4QLzW3Ni,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",Pepas,Farruko,0.442,0.766
6UelLqGlWMcVH1E5c4H7lY,['pop'],Watermelon Sugar,Harry Styles,0.557,0.816
7jtQIBanIiJOMS6RyCx6jZ,"['chill pop', 'pop']",Another Love,Tom Odell,0.139,0.538
46HNZY1i7O6jwTA7Slo2PI,"['permanent wave', 'pop']",My Universe,Coldplay,0.47,0.711
0VjIjW4GlUZAMYd2vXMi3b,"['canadian contemporary r&b', 'canadian pop', 'pop']",Blinding Lights,The Weeknd,0.334,0.73
1qMMYpVatbRITKCfq1gasi,"['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",PUFFIN ON ZOOTIEZ,Future,0.284,0.657
3AVXwaOGCEL8cmBecfcsFJ,"['dance pop', 'pop', 'viral pop']",Light Switch,Charlie Puth,0.912,0.626
2QjOHCTQ1Jl3zawyYOpxh6,"['modern alternative rock', 'modern rock', 'pop', 'shimmer pop']",Sweater Weather,The Neighbourhood,0.398,0.807
2eAvDnpXP5W0cVtiI0PUxV,"['alt z', 'canadian contemporary r&b', 'canadian pop', 'pop']",Dandelions,Ruth B.,0.454,0.692
59CfNbkERJ3NoTXDvoURjj,"['pop', 'post-teen pop']",Boyfriend,Dove Cameron,0.232,0.612
2gzhQaCTeNgxpeB2TPllyY,[],With you,Jimin,0.137,0.426
4gzsuuZypVbxs0Af1LSZyB,"['latin', 'latin hip hop', 'latin pop', 'pop reggaeton', 'reggaeton', 'trap latino']",Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy,0.138,0.703
5CZ40GBx1sQ9agT82CLQCT,['pop'],traitor,Olivia Rodrigo,0.0849,0.339
6wyhUr4Xw8z5uSy0AhoZfU,"['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",I'M ON ONE (feat. Drake),Future,0.113,0.707
1SOClUWhOi8vHZYMz3GluK,"['modern rock', 'pop']",Infinity,Jaymes Young,0.494,0.673
