id,genre,track_name,artist_name,valence,energy
3qbPpK2s3PSw0jPPdZTTTW,"['dance pop', 'pop', 'post-teen pop']",Nothing Breaks Like a Heart - Live,Miley Cyrus,0.459,0.916
5ZV67iTfNpW3ueMCELLiSX,"['permanent wave', 'pop']",Viva La Vida - Live,Coldplay,0.338,0.821
7qlcu9kkuum0HAhLarrmPF,"['boy band', 'dance pop', 'europop']",Back For Good - Progress Tour Live / 2011,Take That,0.502,0.841
4NCZKdCLPo7ZJ9R2xueItL,"['mellow gold', 'new romantic', 'new wave pop', 'soft rock', 'synthpop']","Leave a Light on (Live at Indigo at the O2, London, 13/10/2017)",Belinda Carlisle,0.683,0.803
5poxEW2Xw9UDv4jhHdqGCG,"['dance rock', 'new romantic', 'new wave', 'permanent wave', 'synthpop']","Just Can't Get Enough - Live at Rose Bowl, Pasadena, CA - June 18, 1988",Depeche Mode,0.965,0.962
61N8sBOfE9iM0uRhInFnKN,"['mellow gold', 'rock drums', 'soft rock']",Against All Odds (Take a Look at Me Now) - Live from the Serious Tour 1990; 2019 Remaster,Phil Collins,0.153,0.646
2EU5LDgtGnh8RTz7VGlGoR,"['dance pop', 'dance rock', 'europop']",Angels,Robbie Williams,0.266,0.903
1PohdWJ1WMBL82q4GBeFN6,"['glam rock', 'mellow gold', 'piano rock']",Your Song - Live At Madison Square Garden,Elton John,0.27,0.344
2LR6DrmvCAIAnL0eCftTQg,"['europop', 'new wave pop', 'soft rock', 'swedish pop']",It Must Have Been Love - Live from Santiago 2012,Roxette,0.38,0.792
5ZhDyMdMJrcbkpHcOaGsmn,"['dance pop', 'pop', 'post-teen pop']",Wrecking Ball X Nothing Compares 2 U - Live,Miley Cyrus,0.181,0.635
4jvjN7ew31DR6VazusgnyJ,"['permanent wave', 'soft rock', 'sophisti-pop']",Fields Of Gold - Live In Berlin/2010,Sting,0.115,0.453
3OGcceoTcTwRQjJmh1K5jF,"['acoustic pop', 'neo mellow', 'pop', 'pop rock']","I'm Yours - Live at the Charter One Pavilion, Chicago, IL, 8/13/2009",Jason Mraz,0.461,0.729
7iGY3k5bvs2D8yPeF4z1y4,"['canadian country', 'canadian pop', 'country', 'country dawn', 'dance pop']",You're Still The One - Live,Shania Twain,0.679,0.845
